cq_id;use_case;scenario_step;dimension;question;sparql;required_features;pass_rule
CQ-058;UC-HTTP-3;;Retrieval;Which headers are associated with each HTTP message?;"PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>

SELECT ?feature WHERE {
  {
    SELECT ?feature (MAX(?present) AS ?anyPresent) WHERE {
      VALUES (?feature ?kind ?iri) {
      (""message"" ""class"" <http://www.w3.org/2011/http#Message>)
      (""message"" ""class"" <http://w3id.org/http#Message>)
      (""message"" ""class"" <http://localhost/onto/ontowebpt#Message>)
      (""headers_any"" ""prop"" <http://www.w3.org/2011/http#headers>)
      (""headers_any"" ""prop"" <http://w3id.org/http#hdr>)
      (""headers_any"" ""prop"" <http://localhost/onto/ontowebpt#requestHeaderOfRequest>)
      (""headers_any"" ""prop"" <http://localhost/onto/ontowebpt#responseHeaderOfResponse>)
      (""headers_any"" ""prop"" <http://localhost/onto/ontowebpt#generalHeaderOfMessage>)
      (""headers_any"" ""prop"" <http://localhost/onto/ontowebpt#payloadHeaderOfMessage>)
      (""headers_any"" ""prop"" <http://localhost/onto/ontowebpt#representationHeaderOfMessage>)
      }
      BIND(
        IF(?kind = ""class"",
          IF(
            EXISTS { ?iri rdf:type owl:Class } ||
            EXISTS { ?iri rdf:type rdfs:Class } ||
            EXISTS { ?iri rdfs:subClassOf ?x } ||
            EXISTS { ?x rdfs:subClassOf ?iri },
            1, 0
          ),
          IF(?kind = ""prop"",
            IF(
              EXISTS { ?iri rdf:type owl:ObjectProperty } ||
              EXISTS { ?iri rdf:type owl:DatatypeProperty } ||
              EXISTS { ?iri rdf:type rdf:Property } ||
              EXISTS { ?iri rdfs:subPropertyOf ?x } ||
              EXISTS { ?x rdfs:subPropertyOf ?iri } ||
              EXISTS { ?iri rdfs:domain ?x } ||
              EXISTS { ?iri rdfs:range ?x },
              1, 0
            ),
            IF(
              EXISTS { ?iri ?p ?o } ||
              EXISTS { ?s ?p ?iri },
              1, 0
            )
          )
        )
      AS ?present)
    }
    GROUP BY ?feature
  }
  FILTER(?anyPresent = 0)
}
";message,headers_any;AND(strict): PASS if the query returns 0 rows (no missing required_features).
CQ-059;UC-HTTP-3;;Retrieval;Which nomi of header appear in the dataset?;"PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>

SELECT ?feature WHERE {
  {
    SELECT ?feature (MAX(?present) AS ?anyPresent) WHERE {
      VALUES (?feature ?kind ?iri) {
      (""headers_any"" ""prop"" <http://www.w3.org/2011/http#headers>)
      (""headers_any"" ""prop"" <http://w3id.org/http#hdr>)
      (""headers_any"" ""prop"" <http://localhost/onto/ontowebpt#requestHeaderOfRequest>)
      (""headers_any"" ""prop"" <http://localhost/onto/ontowebpt#responseHeaderOfResponse>)
      (""headers_any"" ""prop"" <http://localhost/onto/ontowebpt#generalHeaderOfMessage>)
      (""headers_any"" ""prop"" <http://localhost/onto/ontowebpt#payloadHeaderOfMessage>)
      (""headers_any"" ""prop"" <http://localhost/onto/ontowebpt#representationHeaderOfMessage>)
      (""header_fields"" ""prop"" <http://www.w3.org/2011/http#fieldName>)
      (""header_fields"" ""prop"" <http://www.w3.org/2011/http#fieldValue>)
      (""header_fields"" ""prop"" <http://w3id.org/http#hdrName>)
      (""header_fields"" ""prop"" <http://w3id.org/http#hdrValue>)
      (""header_fields"" ""prop"" <http://localhost/onto/ontowebpt#fieldName>)
      (""header_fields"" ""prop"" <http://localhost/onto/ontowebpt#fieldValue>)
      }
      BIND(
        IF(?kind = ""class"",
          IF(
            EXISTS { ?iri rdf:type owl:Class } ||
            EXISTS { ?iri rdf:type rdfs:Class } ||
            EXISTS { ?iri rdfs:subClassOf ?x } ||
            EXISTS { ?x rdfs:subClassOf ?iri },
            1, 0
          ),
          IF(?kind = ""prop"",
            IF(
              EXISTS { ?iri rdf:type owl:ObjectProperty } ||
              EXISTS { ?iri rdf:type owl:DatatypeProperty } ||
              EXISTS { ?iri rdf:type rdf:Property } ||
              EXISTS { ?iri rdfs:subPropertyOf ?x } ||
              EXISTS { ?x rdfs:subPropertyOf ?iri } ||
              EXISTS { ?iri rdfs:domain ?x } ||
              EXISTS { ?iri rdfs:range ?x },
              1, 0
            ),
            IF(
              EXISTS { ?iri ?p ?o } ||
              EXISTS { ?s ?p ?iri },
              1, 0
            )
          )
        )
      AS ?present)
    }
    GROUP BY ?feature
  }
  FILTER(?anyPresent = 0)
}
";headers_any,header_fields;AND(strict): PASS if the query returns 0 rows (no missing required_features).
CQ-060;UC-HTTP-3;;Quantification;How many times does each header name appear?;"PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>

SELECT ?feature WHERE {
  {
    SELECT ?feature (MAX(?present) AS ?anyPresent) WHERE {
      VALUES (?feature ?kind ?iri) {
      (""headers_any"" ""prop"" <http://www.w3.org/2011/http#headers>)
      (""headers_any"" ""prop"" <http://w3id.org/http#hdr>)
      (""headers_any"" ""prop"" <http://localhost/onto/ontowebpt#requestHeaderOfRequest>)
      (""headers_any"" ""prop"" <http://localhost/onto/ontowebpt#responseHeaderOfResponse>)
      (""headers_any"" ""prop"" <http://localhost/onto/ontowebpt#generalHeaderOfMessage>)
      (""headers_any"" ""prop"" <http://localhost/onto/ontowebpt#payloadHeaderOfMessage>)
      (""headers_any"" ""prop"" <http://localhost/onto/ontowebpt#representationHeaderOfMessage>)
      (""header_fields"" ""prop"" <http://www.w3.org/2011/http#fieldName>)
      (""header_fields"" ""prop"" <http://www.w3.org/2011/http#fieldValue>)
      (""header_fields"" ""prop"" <http://w3id.org/http#hdrName>)
      (""header_fields"" ""prop"" <http://w3id.org/http#hdrValue>)
      (""header_fields"" ""prop"" <http://localhost/onto/ontowebpt#fieldName>)
      (""header_fields"" ""prop"" <http://localhost/onto/ontowebpt#fieldValue>)
      }
      BIND(
        IF(?kind = ""class"",
          IF(
            EXISTS { ?iri rdf:type owl:Class } ||
            EXISTS { ?iri rdf:type rdfs:Class } ||
            EXISTS { ?iri rdfs:subClassOf ?x } ||
            EXISTS { ?x rdfs:subClassOf ?iri },
            1, 0
          ),
          IF(?kind = ""prop"",
            IF(
              EXISTS { ?iri rdf:type owl:ObjectProperty } ||
              EXISTS { ?iri rdf:type owl:DatatypeProperty } ||
              EXISTS { ?iri rdf:type rdf:Property } ||
              EXISTS { ?iri rdfs:subPropertyOf ?x } ||
              EXISTS { ?x rdfs:subPropertyOf ?iri } ||
              EXISTS { ?iri rdfs:domain ?x } ||
              EXISTS { ?iri rdfs:range ?x },
              1, 0
            ),
            IF(
              EXISTS { ?iri ?p ?o } ||
              EXISTS { ?s ?p ?iri },
              1, 0
            )
          )
        )
      AS ?present)
    }
    GROUP BY ?feature
  }
  FILTER(?anyPresent = 0)
}
";headers_any,header_fields;AND(strict): PASS if the query returns 0 rows (no missing required_features).
CQ-061;UC-HTTP-3;;Retrieval;What is the value associated with each header of a message?;"PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>

SELECT ?feature WHERE {
  {
    SELECT ?feature (MAX(?present) AS ?anyPresent) WHERE {
      VALUES (?feature ?kind ?iri) {
      (""headers_any"" ""prop"" <http://www.w3.org/2011/http#headers>)
      (""headers_any"" ""prop"" <http://w3id.org/http#hdr>)
      (""headers_any"" ""prop"" <http://localhost/onto/ontowebpt#requestHeaderOfRequest>)
      (""headers_any"" ""prop"" <http://localhost/onto/ontowebpt#responseHeaderOfResponse>)
      (""headers_any"" ""prop"" <http://localhost/onto/ontowebpt#generalHeaderOfMessage>)
      (""headers_any"" ""prop"" <http://localhost/onto/ontowebpt#payloadHeaderOfMessage>)
      (""headers_any"" ""prop"" <http://localhost/onto/ontowebpt#representationHeaderOfMessage>)
      (""header_fields"" ""prop"" <http://www.w3.org/2011/http#fieldName>)
      (""header_fields"" ""prop"" <http://www.w3.org/2011/http#fieldValue>)
      (""header_fields"" ""prop"" <http://w3id.org/http#hdrName>)
      (""header_fields"" ""prop"" <http://w3id.org/http#hdrValue>)
      (""header_fields"" ""prop"" <http://localhost/onto/ontowebpt#fieldName>)
      (""header_fields"" ""prop"" <http://localhost/onto/ontowebpt#fieldValue>)
      }
      BIND(
        IF(?kind = ""class"",
          IF(
            EXISTS { ?iri rdf:type owl:Class } ||
            EXISTS { ?iri rdf:type rdfs:Class } ||
            EXISTS { ?iri rdfs:subClassOf ?x } ||
            EXISTS { ?x rdfs:subClassOf ?iri },
            1, 0
          ),
          IF(?kind = ""prop"",
            IF(
              EXISTS { ?iri rdf:type owl:ObjectProperty } ||
              EXISTS { ?iri rdf:type owl:DatatypeProperty } ||
              EXISTS { ?iri rdf:type rdf:Property } ||
              EXISTS { ?iri rdfs:subPropertyOf ?x } ||
              EXISTS { ?x rdfs:subPropertyOf ?iri } ||
              EXISTS { ?iri rdfs:domain ?x } ||
              EXISTS { ?iri rdfs:range ?x },
              1, 0
            ),
            IF(
              EXISTS { ?iri ?p ?o } ||
              EXISTS { ?s ?p ?iri },
              1, 0
            )
          )
        )
      AS ?present)
    }
    GROUP BY ?feature
  }
  FILTER(?anyPresent = 0)
}
";headers_any,header_fields;AND(strict): PASS if the query returns 0 rows (no missing required_features).
CQ-062;UC-HTTP-3;;Validation;Are there headers without name o without value?;"PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>

SELECT ?feature WHERE {
  {
    SELECT ?feature (MAX(?present) AS ?anyPresent) WHERE {
      VALUES (?feature ?kind ?iri) {
      (""headers_any"" ""prop"" <http://www.w3.org/2011/http#headers>)
      (""headers_any"" ""prop"" <http://w3id.org/http#hdr>)
      (""headers_any"" ""prop"" <http://localhost/onto/ontowebpt#requestHeaderOfRequest>)
      (""headers_any"" ""prop"" <http://localhost/onto/ontowebpt#responseHeaderOfResponse>)
      (""headers_any"" ""prop"" <http://localhost/onto/ontowebpt#generalHeaderOfMessage>)
      (""headers_any"" ""prop"" <http://localhost/onto/ontowebpt#payloadHeaderOfMessage>)
      (""headers_any"" ""prop"" <http://localhost/onto/ontowebpt#representationHeaderOfMessage>)
      (""header_fields"" ""prop"" <http://www.w3.org/2011/http#fieldName>)
      (""header_fields"" ""prop"" <http://www.w3.org/2011/http#fieldValue>)
      (""header_fields"" ""prop"" <http://w3id.org/http#hdrName>)
      (""header_fields"" ""prop"" <http://w3id.org/http#hdrValue>)
      (""header_fields"" ""prop"" <http://localhost/onto/ontowebpt#fieldName>)
      (""header_fields"" ""prop"" <http://localhost/onto/ontowebpt#fieldValue>)
      }
      BIND(
        IF(?kind = ""class"",
          IF(
            EXISTS { ?iri rdf:type owl:Class } ||
            EXISTS { ?iri rdf:type rdfs:Class } ||
            EXISTS { ?iri rdfs:subClassOf ?x } ||
            EXISTS { ?x rdfs:subClassOf ?iri },
            1, 0
          ),
          IF(?kind = ""prop"",
            IF(
              EXISTS { ?iri rdf:type owl:ObjectProperty } ||
              EXISTS { ?iri rdf:type owl:DatatypeProperty } ||
              EXISTS { ?iri rdf:type rdf:Property } ||
              EXISTS { ?iri rdfs:subPropertyOf ?x } ||
              EXISTS { ?x rdfs:subPropertyOf ?iri } ||
              EXISTS { ?iri rdfs:domain ?x } ||
              EXISTS { ?iri rdfs:range ?x },
              1, 0
            ),
            IF(
              EXISTS { ?iri ?p ?o } ||
              EXISTS { ?s ?p ?iri },
              1, 0
            )
          )
        )
      AS ?present)
    }
    GROUP BY ?feature
  }
  FILTER(?anyPresent = 0)
}
";headers_any,header_fields;AND(strict): PASS if the query returns 0 rows (no missing required_features).
CQ-063;UC-HTTP-3;;Retrieval;Which messages contain a specific header (for name)?;"PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>

SELECT ?feature WHERE {
  {
    SELECT ?feature (MAX(?present) AS ?anyPresent) WHERE {
      VALUES (?feature ?kind ?iri) {
      (""message"" ""class"" <http://www.w3.org/2011/http#Message>)
      (""message"" ""class"" <http://w3id.org/http#Message>)
      (""message"" ""class"" <http://localhost/onto/ontowebpt#Message>)
      (""headers_any"" ""prop"" <http://www.w3.org/2011/http#headers>)
      (""headers_any"" ""prop"" <http://w3id.org/http#hdr>)
      (""headers_any"" ""prop"" <http://localhost/onto/ontowebpt#requestHeaderOfRequest>)
      (""headers_any"" ""prop"" <http://localhost/onto/ontowebpt#responseHeaderOfResponse>)
      (""headers_any"" ""prop"" <http://localhost/onto/ontowebpt#generalHeaderOfMessage>)
      (""headers_any"" ""prop"" <http://localhost/onto/ontowebpt#payloadHeaderOfMessage>)
      (""headers_any"" ""prop"" <http://localhost/onto/ontowebpt#representationHeaderOfMessage>)
      (""header_fields"" ""prop"" <http://www.w3.org/2011/http#fieldName>)
      (""header_fields"" ""prop"" <http://www.w3.org/2011/http#fieldValue>)
      (""header_fields"" ""prop"" <http://w3id.org/http#hdrName>)
      (""header_fields"" ""prop"" <http://w3id.org/http#hdrValue>)
      (""header_fields"" ""prop"" <http://localhost/onto/ontowebpt#fieldName>)
      (""header_fields"" ""prop"" <http://localhost/onto/ontowebpt#fieldValue>)
      }
      BIND(
        IF(?kind = ""class"",
          IF(
            EXISTS { ?iri rdf:type owl:Class } ||
            EXISTS { ?iri rdf:type rdfs:Class } ||
            EXISTS { ?iri rdfs:subClassOf ?x } ||
            EXISTS { ?x rdfs:subClassOf ?iri },
            1, 0
          ),
          IF(?kind = ""prop"",
            IF(
              EXISTS { ?iri rdf:type owl:ObjectProperty } ||
              EXISTS { ?iri rdf:type owl:DatatypeProperty } ||
              EXISTS { ?iri rdf:type rdf:Property } ||
              EXISTS { ?iri rdfs:subPropertyOf ?x } ||
              EXISTS { ?x rdfs:subPropertyOf ?iri } ||
              EXISTS { ?iri rdfs:domain ?x } ||
              EXISTS { ?iri rdfs:range ?x },
              1, 0
            ),
            IF(
              EXISTS { ?iri ?p ?o } ||
              EXISTS { ?s ?p ?iri },
              1, 0
            )
          )
        )
      AS ?present)
    }
    GROUP BY ?feature
  }
  FILTER(?anyPresent = 0)
}
";message,headers_any,header_fields;AND(strict): PASS if the query returns 0 rows (no missing required_features).
CQ-064;UC-HTTP-3;;Retrieval;Which messages contain a specific header con a value specific?;"PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>

SELECT ?feature WHERE {
  {
    SELECT ?feature (MAX(?present) AS ?anyPresent) WHERE {
      VALUES (?feature ?kind ?iri) {
      (""message"" ""class"" <http://www.w3.org/2011/http#Message>)
      (""message"" ""class"" <http://w3id.org/http#Message>)
      (""message"" ""class"" <http://localhost/onto/ontowebpt#Message>)
      (""headers_any"" ""prop"" <http://www.w3.org/2011/http#headers>)
      (""headers_any"" ""prop"" <http://w3id.org/http#hdr>)
      (""headers_any"" ""prop"" <http://localhost/onto/ontowebpt#requestHeaderOfRequest>)
      (""headers_any"" ""prop"" <http://localhost/onto/ontowebpt#responseHeaderOfResponse>)
      (""headers_any"" ""prop"" <http://localhost/onto/ontowebpt#generalHeaderOfMessage>)
      (""headers_any"" ""prop"" <http://localhost/onto/ontowebpt#payloadHeaderOfMessage>)
      (""headers_any"" ""prop"" <http://localhost/onto/ontowebpt#representationHeaderOfMessage>)
      (""header_fields"" ""prop"" <http://www.w3.org/2011/http#fieldName>)
      (""header_fields"" ""prop"" <http://www.w3.org/2011/http#fieldValue>)
      (""header_fields"" ""prop"" <http://w3id.org/http#hdrName>)
      (""header_fields"" ""prop"" <http://w3id.org/http#hdrValue>)
      (""header_fields"" ""prop"" <http://localhost/onto/ontowebpt#fieldName>)
      (""header_fields"" ""prop"" <http://localhost/onto/ontowebpt#fieldValue>)
      }
      BIND(
        IF(?kind = ""class"",
          IF(
            EXISTS { ?iri rdf:type owl:Class } ||
            EXISTS { ?iri rdf:type rdfs:Class } ||
            EXISTS { ?iri rdfs:subClassOf ?x } ||
            EXISTS { ?x rdfs:subClassOf ?iri },
            1, 0
          ),
          IF(?kind = ""prop"",
            IF(
              EXISTS { ?iri rdf:type owl:ObjectProperty } ||
              EXISTS { ?iri rdf:type owl:DatatypeProperty } ||
              EXISTS { ?iri rdf:type rdf:Property } ||
              EXISTS { ?iri rdfs:subPropertyOf ?x } ||
              EXISTS { ?x rdfs:subPropertyOf ?iri } ||
              EXISTS { ?iri rdfs:domain ?x } ||
              EXISTS { ?iri rdfs:range ?x },
              1, 0
            ),
            IF(
              EXISTS { ?iri ?p ?o } ||
              EXISTS { ?s ?p ?iri },
              1, 0
            )
          )
        )
      AS ?present)
    }
    GROUP BY ?feature
  }
  FILTER(?anyPresent = 0)
}
";message,headers_any,header_fields;AND(strict): PASS if the query returns 0 rows (no missing required_features).
CQ-065;UC-HTTP-3;;Retrieval;Which messages include the'header 'Host'?;"PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>

SELECT ?feature WHERE {
  {
    SELECT ?feature (MAX(?present) AS ?anyPresent) WHERE {
      VALUES (?feature ?kind ?iri) {
      (""message"" ""class"" <http://www.w3.org/2011/http#Message>)
      (""message"" ""class"" <http://w3id.org/http#Message>)
      (""message"" ""class"" <http://localhost/onto/ontowebpt#Message>)
      (""headers_any"" ""prop"" <http://www.w3.org/2011/http#headers>)
      (""headers_any"" ""prop"" <http://w3id.org/http#hdr>)
      (""headers_any"" ""prop"" <http://localhost/onto/ontowebpt#requestHeaderOfRequest>)
      (""headers_any"" ""prop"" <http://localhost/onto/ontowebpt#responseHeaderOfResponse>)
      (""headers_any"" ""prop"" <http://localhost/onto/ontowebpt#generalHeaderOfMessage>)
      (""headers_any"" ""prop"" <http://localhost/onto/ontowebpt#payloadHeaderOfMessage>)
      (""headers_any"" ""prop"" <http://localhost/onto/ontowebpt#representationHeaderOfMessage>)
      (""header_fields"" ""prop"" <http://www.w3.org/2011/http#fieldName>)
      (""header_fields"" ""prop"" <http://www.w3.org/2011/http#fieldValue>)
      (""header_fields"" ""prop"" <http://w3id.org/http#hdrName>)
      (""header_fields"" ""prop"" <http://w3id.org/http#hdrValue>)
      (""header_fields"" ""prop"" <http://localhost/onto/ontowebpt#fieldName>)
      (""header_fields"" ""prop"" <http://localhost/onto/ontowebpt#fieldValue>)
      }
      BIND(
        IF(?kind = ""class"",
          IF(
            EXISTS { ?iri rdf:type owl:Class } ||
            EXISTS { ?iri rdf:type rdfs:Class } ||
            EXISTS { ?iri rdfs:subClassOf ?x } ||
            EXISTS { ?x rdfs:subClassOf ?iri },
            1, 0
          ),
          IF(?kind = ""prop"",
            IF(
              EXISTS { ?iri rdf:type owl:ObjectProperty } ||
              EXISTS { ?iri rdf:type owl:DatatypeProperty } ||
              EXISTS { ?iri rdf:type rdf:Property } ||
              EXISTS { ?iri rdfs:subPropertyOf ?x } ||
              EXISTS { ?x rdfs:subPropertyOf ?iri } ||
              EXISTS { ?iri rdfs:domain ?x } ||
              EXISTS { ?iri rdfs:range ?x },
              1, 0
            ),
            IF(
              EXISTS { ?iri ?p ?o } ||
              EXISTS { ?s ?p ?iri },
              1, 0
            )
          )
        )
      AS ?present)
    }
    GROUP BY ?feature
  }
  FILTER(?anyPresent = 0)
}
";message,headers_any,header_fields;AND(strict): PASS if the query returns 0 rows (no missing required_features).
CQ-066;UC-HTTP-3;;Retrieval;What is the value dell'header 'Host' For each message that the contains?;"PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>

SELECT ?feature WHERE {
  {
    SELECT ?feature (MAX(?present) AS ?anyPresent) WHERE {
      VALUES (?feature ?kind ?iri) {
      (""headers_any"" ""prop"" <http://www.w3.org/2011/http#headers>)
      (""headers_any"" ""prop"" <http://w3id.org/http#hdr>)
      (""headers_any"" ""prop"" <http://localhost/onto/ontowebpt#requestHeaderOfRequest>)
      (""headers_any"" ""prop"" <http://localhost/onto/ontowebpt#responseHeaderOfResponse>)
      (""headers_any"" ""prop"" <http://localhost/onto/ontowebpt#generalHeaderOfMessage>)
      (""headers_any"" ""prop"" <http://localhost/onto/ontowebpt#payloadHeaderOfMessage>)
      (""headers_any"" ""prop"" <http://localhost/onto/ontowebpt#representationHeaderOfMessage>)
      (""header_fields"" ""prop"" <http://www.w3.org/2011/http#fieldName>)
      (""header_fields"" ""prop"" <http://www.w3.org/2011/http#fieldValue>)
      (""header_fields"" ""prop"" <http://w3id.org/http#hdrName>)
      (""header_fields"" ""prop"" <http://w3id.org/http#hdrValue>)
      (""header_fields"" ""prop"" <http://localhost/onto/ontowebpt#fieldName>)
      (""header_fields"" ""prop"" <http://localhost/onto/ontowebpt#fieldValue>)
      }
      BIND(
        IF(?kind = ""class"",
          IF(
            EXISTS { ?iri rdf:type owl:Class } ||
            EXISTS { ?iri rdf:type rdfs:Class } ||
            EXISTS { ?iri rdfs:subClassOf ?x } ||
            EXISTS { ?x rdfs:subClassOf ?iri },
            1, 0
          ),
          IF(?kind = ""prop"",
            IF(
              EXISTS { ?iri rdf:type owl:ObjectProperty } ||
              EXISTS { ?iri rdf:type owl:DatatypeProperty } ||
              EXISTS { ?iri rdf:type rdf:Property } ||
              EXISTS { ?iri rdfs:subPropertyOf ?x } ||
              EXISTS { ?x rdfs:subPropertyOf ?iri } ||
              EXISTS { ?iri rdfs:domain ?x } ||
              EXISTS { ?iri rdfs:range ?x },
              1, 0
            ),
            IF(
              EXISTS { ?iri ?p ?o } ||
              EXISTS { ?s ?p ?iri },
              1, 0
            )
          )
        )
      AS ?present)
    }
    GROUP BY ?feature
  }
  FILTER(?anyPresent = 0)
}
";headers_any,header_fields;AND(strict): PASS if the query returns 0 rows (no missing required_features).
CQ-067;UC-HTTP-3;;Quantification;How many times does the'header 'Host'?;"PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>

SELECT ?feature WHERE {
  {
    SELECT ?feature (MAX(?present) AS ?anyPresent) WHERE {
      VALUES (?feature ?kind ?iri) {
      (""headers_any"" ""prop"" <http://www.w3.org/2011/http#headers>)
      (""headers_any"" ""prop"" <http://w3id.org/http#hdr>)
      (""headers_any"" ""prop"" <http://localhost/onto/ontowebpt#requestHeaderOfRequest>)
      (""headers_any"" ""prop"" <http://localhost/onto/ontowebpt#responseHeaderOfResponse>)
      (""headers_any"" ""prop"" <http://localhost/onto/ontowebpt#generalHeaderOfMessage>)
      (""headers_any"" ""prop"" <http://localhost/onto/ontowebpt#payloadHeaderOfMessage>)
      (""headers_any"" ""prop"" <http://localhost/onto/ontowebpt#representationHeaderOfMessage>)
      (""header_fields"" ""prop"" <http://www.w3.org/2011/http#fieldName>)
      (""header_fields"" ""prop"" <http://www.w3.org/2011/http#fieldValue>)
      (""header_fields"" ""prop"" <http://w3id.org/http#hdrName>)
      (""header_fields"" ""prop"" <http://w3id.org/http#hdrValue>)
      (""header_fields"" ""prop"" <http://localhost/onto/ontowebpt#fieldName>)
      (""header_fields"" ""prop"" <http://localhost/onto/ontowebpt#fieldValue>)
      }
      BIND(
        IF(?kind = ""class"",
          IF(
            EXISTS { ?iri rdf:type owl:Class } ||
            EXISTS { ?iri rdf:type rdfs:Class } ||
            EXISTS { ?iri rdfs:subClassOf ?x } ||
            EXISTS { ?x rdfs:subClassOf ?iri },
            1, 0
          ),
          IF(?kind = ""prop"",
            IF(
              EXISTS { ?iri rdf:type owl:ObjectProperty } ||
              EXISTS { ?iri rdf:type owl:DatatypeProperty } ||
              EXISTS { ?iri rdf:type rdf:Property } ||
              EXISTS { ?iri rdfs:subPropertyOf ?x } ||
              EXISTS { ?x rdfs:subPropertyOf ?iri } ||
              EXISTS { ?iri rdfs:domain ?x } ||
              EXISTS { ?iri rdfs:range ?x },
              1, 0
            ),
            IF(
              EXISTS { ?iri ?p ?o } ||
              EXISTS { ?s ?p ?iri },
              1, 0
            )
          )
        )
      AS ?present)
    }
    GROUP BY ?feature
  }
  FILTER(?anyPresent = 0)
}
";headers_any,header_fields;AND(strict): PASS if the query returns 0 rows (no missing required_features).
CQ-068;UC-HTTP-3;;Retrieval;Which messages include the'header 'User-Agent'?;"PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX owl: <http://www.w3.org/2002/07/owl#>

SELECT ?feature WHERE {
  {
    SELECT ?feature (MAX(?present) AS ?anyPresent) WHERE {
      VALUES (?feature ?kind ?iri) {
      (""message"" ""class"" <http://www.w3.org/2011/http#Message>)
      (""message"" ""class"" <http://w3id.org/http#Message>)
      (""message"" ""class"" <http://localhost/onto/ontowebpt#Message>)
      (""headers_any"" ""prop"" <http://www.w3.org/2011/http#headers>)
      (""headers_any"" ""prop"" <http://w3id.org/http#hdr>)
      (""headers_any"" ""prop"" <http://localhost/onto/ontowebpt#requestHeaderOfRequest>)
      (""headers_any"" ""prop"" <http://localhost/onto/ontowebpt#responseHeaderOfResponse>)
      (""headers_any"" ""prop"" <http://localhost/onto/ontowebpt#generalHeaderOfMessage>)
      (""headers_any"" ""prop"" <http://localhost/onto/ontowebpt#payloadHeaderOfMessage>)
      (""headers_any"" ""prop"" <http://localhost/onto/ontowebpt#representationHeaderOfMessage>)
      (""header_fields"" ""prop"" <http://www.w3.org/2011/http#fieldName>)
      (""header_fields"" ""prop"" <http://www.w3.org/2011/http#fieldValue>)
      (""header_fields"" ""prop"" <http://w3id.org/http#hdrName>)
      (""header_fields"" ""prop"" <http://w3id.org/http#hdrValue>)
      (""header_fields"" ""prop"" <http://localhost/onto/ontowebpt#fieldName>)
      (""header_fields"" ""prop"" <http://localhost/onto/ontowebpt#fieldValue>)
      }
      BIND(
        IF(?kind = ""class"",
          IF(
            EXISTS { ?iri rdf:type owl:Class } ||
            EXISTS { ?iri rdf:type rdfs:Class } ||
            EXISTS { ?iri rdfs:subClassOf ?x } ||
            EXISTS { ?x rdfs:subClassOf ?iri },
            1, 0
          ),
          IF(?kind = ""prop"",
            IF(
              EXISTS { ?iri rdf:type owl:ObjectProperty } ||
              EXISTS { ?iri rdf:type owl:DatatypeProperty } ||
              EXISTS { ?iri rdf:type rdf:Property } ||
              EXISTS { ?iri rdfs:subPropertyOf ?x } ||
              EXISTS { ?x rdfs:subPropertyOf ?iri } ||
              EXISTS { ?iri rdfs:domain ?x } ||
              EXISTS { ?iri rdfs:range ?x },
              1, 0
            ),
            IF(
              EXISTS { ?iri ?p ?o } ||
              EXISTS { ?s ?p ?iri },
              1, 0
            )
          )
        )
      AS ?present)
    }
    GROUP BY ?feature
  }
  FILTER(?anyPresent = 0)
}
";message,headers_any,header_fields;AND(strict): PASS if the query returns 0 rows (no missing required_features).
