cq_id;use_case;scenario_step;dimension;question
CQ00097;UC-1;Session preparation and connectivity validation;Retrieval;List ingestion jobs associated with UC-1 during Session preparation and connectivity validation filtered by path.
CQ00098;UC-1;Session preparation and connectivity validation;Retrieval;Show ingestion jobs associated with UC-1 during Session preparation and connectivity validation filtered by dataset.
CQ00099;UC-1;Session preparation and connectivity validation;Retrieval;List ingestion jobs associated with UC-1 during Session preparation and connectivity validation filtered by status code.
CQ00100;UC-1;Session preparation and connectivity validation;Quantification;How many ingestion jobs are available for UC-1 during Session preparation and connectivity validation filtered by timestamp window.
CQ00101;UC-1;Semantic persistence validation in the Dashboard and GraphDB;Retrieval;Enumerate HTTP requests associated with UC-1 during Semantic persistence validation in the Dashboard and GraphDB filtered by presence of a payload body.
CQ00102;UC-1;Semantic persistence validation in the Dashboard and GraphDB;Retrieval;Enumerate HTTP requests associated with UC-1 during Semantic persistence validation in the Dashboard and GraphDB filtered by presence of headers.
CQ00103;UC-1;Semantic persistence validation in the Dashboard and GraphDB;Retrieval;Return HTTP requests associated with UC-1 during Semantic persistence validation in the Dashboard and GraphDB filtered by status code.
CQ00104;UC-1;Semantic persistence validation in the Dashboard and GraphDB;Retrieval;Retrieve HTTP requests associated with UC-1 during Semantic persistence validation in the Dashboard and GraphDB filtered by method.
CQ00105;UC-1;Semantic persistence validation in the Dashboard and GraphDB;Quantification;Summarize the count of HTTP requests for UC-1 during Semantic persistence validation in the Dashboard and GraphDB filtered by presence of headers.
CQ00106;UC-1;Semantic persistence validation in the Dashboard and GraphDB;Retrieval;Show HTTP responses associated with UC-1 during Semantic persistence validation in the Dashboard and GraphDB filtered by status code.
CQ00107;UC-1;Semantic persistence validation in the Dashboard and GraphDB;Retrieval;Return HTTP responses associated with UC-1 during Semantic persistence validation in the Dashboard and GraphDB filtered by path.
CQ00108;UC-1;Semantic persistence validation in the Dashboard and GraphDB;Retrieval;Return HTTP responses associated with UC-1 during Semantic persistence validation in the Dashboard and GraphDB filtered by job identifier.
CQ00109;UC-1;Semantic persistence validation in the Dashboard and GraphDB;Retrieval;Return HTTP responses associated with UC-1 during Semantic persistence validation in the Dashboard and GraphDB filtered by presence of parameters.
CQ00110;UC-1;Semantic persistence validation in the Dashboard and GraphDB;Quantification;Count HTTP responses for UC-1 during Semantic persistence validation in the Dashboard and GraphDB filtered by scheme and authority.
CQ00111;UC-1;Semantic persistence validation in the Dashboard and GraphDB;Retrieval;Retrieve request–response exchanges associated with UC-1 during Semantic persistence validation in the Dashboard and GraphDB filtered by scheme and authority.
CQ00112;UC-1;Semantic persistence validation in the Dashboard and GraphDB;Retrieval;Retrieve request–response exchanges associated with UC-1 during Semantic persistence validation in the Dashboard and GraphDB filtered by presence of parameters.
CQ00113;UC-1;Semantic persistence validation in the Dashboard and GraphDB;Retrieval;Retrieve request–response exchanges associated with UC-1 during Semantic persistence validation in the Dashboard and GraphDB filtered by presence of cookies.
CQ00114;UC-1;Semantic persistence validation in the Dashboard and GraphDB;Retrieval;Enumerate request–response exchanges associated with UC-1 during Semantic persistence validation in the Dashboard and GraphDB filtered by path.
CQ00115;UC-1;Semantic persistence validation in the Dashboard and GraphDB;Quantification;How many request–response exchanges are available for UC-1 during Semantic persistence validation in the Dashboard and GraphDB filtered by presence of headers.
CQ00116;UC-1;Semantic persistence validation in the Dashboard and GraphDB;Retrieval;Retrieve URI targets associated with UC-1 during Semantic persistence validation in the Dashboard and GraphDB filtered by presence of parameters.
CQ00117;UC-1;Semantic persistence validation in the Dashboard and GraphDB;Retrieval;List URI targets associated with UC-1 during Semantic persistence validation in the Dashboard and GraphDB filtered by method.
CQ00118;UC-1;Semantic persistence validation in the Dashboard and GraphDB;Retrieval;Return URI targets associated with UC-1 during Semantic persistence validation in the Dashboard and GraphDB filtered by presence of a payload body.
CQ00119;UC-1;Semantic persistence validation in the Dashboard and GraphDB;Retrieval;Enumerate URI targets associated with UC-1 during Semantic persistence validation in the Dashboard and GraphDB filtered by presence of headers.
CQ00120;UC-1;Semantic persistence validation in the Dashboard and GraphDB;Quantification;Count URI targets for UC-1 during Semantic persistence validation in the Dashboard and GraphDB filtered by path.
CQ00121;UC-1;Semantic persistence validation in the Dashboard and GraphDB;Retrieval;Retrieve headers associated with UC-1 during Semantic persistence validation in the Dashboard and GraphDB filtered by dataset.
CQ00122;UC-1;Semantic persistence validation in the Dashboard and GraphDB;Retrieval;Retrieve headers associated with UC-1 during Semantic persistence validation in the Dashboard and GraphDB filtered by timestamp window.
CQ00123;UC-1;Semantic persistence validation in the Dashboard and GraphDB;Retrieval;Return headers associated with UC-1 during Semantic persistence validation in the Dashboard and GraphDB filtered by scheme and authority.
CQ00124;UC-1;Semantic persistence validation in the Dashboard and GraphDB;Retrieval;Return headers associated with UC-1 during Semantic persistence validation in the Dashboard and GraphDB filtered by path.
CQ00125;UC-1;Semantic persistence validation in the Dashboard and GraphDB;Quantification;How many headers are available for UC-1 during Semantic persistence validation in the Dashboard and GraphDB filtered by presence of headers.
CQ00126;UC-1;Semantic persistence validation in the Dashboard and GraphDB;Retrieval;List cookies associated with UC-1 during Semantic persistence validation in the Dashboard and GraphDB filtered by presence of parameters.
CQ00127;UC-1;Semantic persistence validation in the Dashboard and GraphDB;Retrieval;Return cookies associated with UC-1 during Semantic persistence validation in the Dashboard and GraphDB filtered by scheme and authority.
CQ00128;UC-1;Semantic persistence validation in the Dashboard and GraphDB;Retrieval;Show cookies associated with UC-1 during Semantic persistence validation in the Dashboard and GraphDB filtered by method.
CQ00129;UC-1;Semantic persistence validation in the Dashboard and GraphDB;Retrieval;Return cookies associated with UC-1 during Semantic persistence validation in the Dashboard and GraphDB filtered by dataset.
CQ00130;UC-1;Semantic persistence validation in the Dashboard and GraphDB;Quantification;Summarize the count of cookies for UC-1 during Semantic persistence validation in the Dashboard and GraphDB filtered by presence of a payload body.
CQ00131;UC-1;Semantic persistence validation in the Dashboard and GraphDB;Retrieval;Show parameters associated with UC-1 during Semantic persistence validation in the Dashboard and GraphDB filtered by timestamp window.
CQ00132;UC-1;Semantic persistence validation in the Dashboard and GraphDB;Retrieval;Retrieve parameters associated with UC-1 during Semantic persistence validation in the Dashboard and GraphDB filtered by presence of headers.
CQ00133;UC-1;Semantic persistence validation in the Dashboard and GraphDB;Retrieval;List parameters associated with UC-1 during Semantic persistence validation in the Dashboard and GraphDB filtered by method.
CQ00134;UC-1;Semantic persistence validation in the Dashboard and GraphDB;Retrieval;Enumerate parameters associated with UC-1 during Semantic persistence validation in the Dashboard and GraphDB filtered by status code.
CQ00135;UC-1;Semantic persistence validation in the Dashboard and GraphDB;Quantification;Count parameters for UC-1 during Semantic persistence validation in the Dashboard and GraphDB filtered by timestamp window.
CQ00136;UC-1;Semantic persistence validation in the Dashboard and GraphDB;Retrieval;Enumerate HTML artifacts associated with UC-1 during Semantic persistence validation in the Dashboard and GraphDB filtered by presence of cookies.
CQ00137;UC-1;Semantic persistence validation in the Dashboard and GraphDB;Retrieval;Enumerate HTML artifacts associated with UC-1 during Semantic persistence validation in the Dashboard and GraphDB filtered by scheme and authority.
CQ00138;UC-1;Semantic persistence validation in the Dashboard and GraphDB;Retrieval;Retrieve HTML artifacts associated with UC-1 during Semantic persistence validation in the Dashboard and GraphDB filtered by job identifier.
CQ00139;UC-1;Semantic persistence validation in the Dashboard and GraphDB;Retrieval;List HTML artifacts associated with UC-1 during Semantic persistence validation in the Dashboard and GraphDB filtered by presence of headers.
CQ00140;UC-1;Semantic persistence validation in the Dashboard and GraphDB;Quantification;Count HTML artifacts for UC-1 during Semantic persistence validation in the Dashboard and GraphDB filtered by timestamp window.
CQ00141;UC-1;Semantic persistence validation in the Dashboard and GraphDB;Retrieval;Return findings associated with UC-1 during Semantic persistence validation in the Dashboard and GraphDB filtered by method.
CQ00142;UC-1;Semantic persistence validation in the Dashboard and GraphDB;Retrieval;List findings associated with UC-1 during Semantic persistence validation in the Dashboard and GraphDB filtered by path.
CQ00143;UC-1;Semantic persistence validation in the Dashboard and GraphDB;Retrieval;Enumerate findings associated with UC-1 during Semantic persistence validation in the Dashboard and GraphDB filtered by job identifier.
CQ00144;UC-1;Semantic persistence validation in the Dashboard and GraphDB;Retrieval;Retrieve findings associated with UC-1 during Semantic persistence validation in the Dashboard and GraphDB filtered by status code.
CQ00145;UC-1;Semantic persistence validation in the Dashboard and GraphDB;Quantification;Count findings for UC-1 during Semantic persistence validation in the Dashboard and GraphDB filtered by job identifier.
CQ00146;UC-1;Semantic persistence validation in the Dashboard and GraphDB;Retrieval;Show ingestion jobs associated with UC-1 during Semantic persistence validation in the Dashboard and GraphDB filtered by job identifier.
CQ00147;UC-1;Semantic persistence validation in the Dashboard and GraphDB;Retrieval;Retrieve ingestion jobs associated with UC-1 during Semantic persistence validation in the Dashboard and GraphDB filtered by path.
CQ00148;UC-1;Semantic persistence validation in the Dashboard and GraphDB;Retrieval;Show ingestion jobs associated with UC-1 during Semantic persistence validation in the Dashboard and GraphDB filtered by presence of parameters.
CQ00149;UC-1;Semantic persistence validation in the Dashboard and GraphDB;Retrieval;Retrieve ingestion jobs associated with UC-1 during Semantic persistence validation in the Dashboard and GraphDB filtered by presence of cookies.
CQ00150;UC-1;Semantic persistence validation in the Dashboard and GraphDB;Quantification;Summarize the count of ingestion jobs for UC-1 during Semantic persistence validation in the Dashboard and GraphDB filtered by presence of a payload body.
CQ00151;UC-1;Curated selection and evidence submission;Retrieval;List HTTP requests associated with UC-1 during Curated selection and evidence submission filtered by method.
CQ00152;UC-1;Curated selection and evidence submission;Retrieval;List HTTP requests associated with UC-1 during Curated selection and evidence submission filtered by presence of a payload body.
CQ00153;UC-1;Curated selection and evidence submission;Retrieval;Return HTTP requests associated with UC-1 during Curated selection and evidence submission filtered by presence of headers.
CQ00154;UC-1;Curated selection and evidence submission;Retrieval;Enumerate HTTP requests associated with UC-1 during Curated selection and evidence submission filtered by presence of cookies.
CQ00155;UC-1;Curated selection and evidence submission;Quantification;Count HTTP requests for UC-1 during Curated selection and evidence submission filtered by job identifier.
CQ00156;UC-1;Curated selection and evidence submission;Retrieval;Retrieve HTTP responses associated with UC-1 during Curated selection and evidence submission filtered by path.
CQ00157;UC-1;Curated selection and evidence submission;Retrieval;Show HTTP responses associated with UC-1 during Curated selection and evidence submission filtered by timestamp window.
CQ00158;UC-1;Curated selection and evidence submission;Retrieval;List HTTP responses associated with UC-1 during Curated selection and evidence submission filtered by status code.
CQ00159;UC-1;Curated selection and evidence submission;Retrieval;Retrieve HTTP responses associated with UC-1 during Curated selection and evidence submission filtered by presence of a payload body.
CQ00160;UC-1;Curated selection and evidence submission;Quantification;Compute the number of HTTP responses for UC-1 during Curated selection and evidence submission filtered by presence of cookies.
CQ00161;UC-1;Curated selection and evidence submission;Retrieval;Enumerate request–response exchanges associated with UC-1 during Curated selection and evidence submission filtered by method.
CQ00162;UC-1;Curated selection and evidence submission;Retrieval;Enumerate request–response exchanges associated with UC-1 during Curated selection and evidence submission filtered by presence of headers.
CQ00163;UC-1;Curated selection and evidence submission;Retrieval;List request–response exchanges associated with UC-1 during Curated selection and evidence submission filtered by timestamp window.
CQ00164;UC-1;Curated selection and evidence submission;Retrieval;Enumerate request–response exchanges associated with UC-1 during Curated selection and evidence submission filtered by presence of a payload body.
CQ00165;UC-1;Curated selection and evidence submission;Quantification;Count request–response exchanges for UC-1 during Curated selection and evidence submission filtered by presence of a payload body.
CQ00166;UC-1;Curated selection and evidence submission;Retrieval;Enumerate URI targets associated with UC-1 during Curated selection and evidence submission filtered by method.
CQ00167;UC-1;Curated selection and evidence submission;Retrieval;Retrieve URI targets associated with UC-1 during Curated selection and evidence submission filtered by presence of a payload body.
CQ00168;UC-1;Curated selection and evidence submission;Retrieval;Show URI targets associated with UC-1 during Curated selection and evidence submission filtered by path.
CQ00169;UC-1;Curated selection and evidence submission;Retrieval;Show URI targets associated with UC-1 during Curated selection and evidence submission filtered by timestamp window.
CQ00170;UC-1;Curated selection and evidence submission;Quantification;How many URI targets are available for UC-1 during Curated selection and evidence submission filtered by job identifier.
CQ00171;UC-1;Curated selection and evidence submission;Retrieval;Show headers associated with UC-1 during Curated selection and evidence submission filtered by presence of cookies.
CQ00172;UC-1;Curated selection and evidence submission;Retrieval;List headers associated with UC-1 during Curated selection and evidence submission filtered by status code.
CQ00173;UC-1;Curated selection and evidence submission;Retrieval;List headers associated with UC-1 during Curated selection and evidence submission filtered by presence of a payload body.
CQ00174;UC-1;Curated selection and evidence submission;Retrieval;Return headers associated with UC-1 during Curated selection and evidence submission filtered by presence of headers.
CQ00175;UC-1;Curated selection and evidence submission;Quantification;Count headers for UC-1 during Curated selection and evidence submission filtered by presence of a payload body.
CQ00176;UC-1;Curated selection and evidence submission;Retrieval;Retrieve cookies associated with UC-1 during Curated selection and evidence submission filtered by scheme and authority.
CQ00177;UC-1;Curated selection and evidence submission;Retrieval;Return cookies associated with UC-1 during Curated selection and evidence submission filtered by presence of cookies.
CQ00178;UC-1;Curated selection and evidence submission;Retrieval;Enumerate cookies associated with UC-1 during Curated selection and evidence submission filtered by method.
CQ00179;UC-1;Curated selection and evidence submission;Retrieval;Return cookies associated with UC-1 during Curated selection and evidence submission filtered by presence of a payload body.
CQ00180;UC-1;Curated selection and evidence submission;Quantification;Count cookies for UC-1 during Curated selection and evidence submission filtered by timestamp window.
CQ00181;UC-1;Curated selection and evidence submission;Retrieval;Show parameters associated with UC-1 during Curated selection and evidence submission filtered by path.
CQ00182;UC-1;Curated selection and evidence submission;Retrieval;Enumerate parameters associated with UC-1 during Curated selection and evidence submission filtered by dataset.
CQ00183;UC-1;Curated selection and evidence submission;Retrieval;Enumerate parameters associated with UC-1 during Curated selection and evidence submission filtered by method.
CQ00184;UC-1;Curated selection and evidence submission;Retrieval;Retrieve parameters associated with UC-1 during Curated selection and evidence submission filtered by scheme and authority.
CQ00185;UC-1;Curated selection and evidence submission;Quantification;How many parameters are available for UC-1 during Curated selection and evidence submission filtered by presence of parameters.
CQ00186;UC-1;Curated selection and evidence submission;Retrieval;Show HTML artifacts associated with UC-1 during Curated selection and evidence submission filtered by scheme and authority.
CQ00187;UC-1;Curated selection and evidence submission;Retrieval;Retrieve HTML artifacts associated with UC-1 during Curated selection and evidence submission filtered by presence of a payload body.
CQ00188;UC-1;Curated selection and evidence submission;Retrieval;Retrieve HTML artifacts associated with UC-1 during Curated selection and evidence submission filtered by presence of cookies.
CQ00189;UC-1;Curated selection and evidence submission;Retrieval;List HTML artifacts associated with UC-1 during Curated selection and evidence submission filtered by dataset.
CQ00190;UC-1;Curated selection and evidence submission;Quantification;Summarize the count of HTML artifacts for UC-1 during Curated selection and evidence submission filtered by presence of cookies.
CQ00191;UC-1;Curated selection and evidence submission;Retrieval;Retrieve findings associated with UC-1 during Curated selection and evidence submission filtered by job identifier.
CQ00192;UC-1;Curated selection and evidence submission;Retrieval;Return findings associated with UC-1 during Curated selection and evidence submission filtered by method.
CQ00193;UC-1;Curated selection and evidence submission;Retrieval;List findings associated with UC-1 during Curated selection and evidence submission filtered by status code.
CQ00194;UC-1;Curated selection and evidence submission;Retrieval;Retrieve findings associated with UC-1 during Curated selection and evidence submission filtered by dataset.
CQ00195;UC-1;Curated selection and evidence submission;Quantification;Summarize the count of findings for UC-1 during Curated selection and evidence submission filtered by presence of cookies.
CQ00196;UC-1;Curated selection and evidence submission;Retrieval;List ingestion jobs associated with UC-1 during Curated selection and evidence submission filtered by dataset.
CQ00197;UC-1;Curated selection and evidence submission;Retrieval;Return ingestion jobs associated with UC-1 during Curated selection and evidence submission filtered by status code.
CQ00198;UC-1;Curated selection and evidence submission;Retrieval;List ingestion jobs associated with UC-1 during Curated selection and evidence submission filtered by presence of a payload body.
CQ00199;UC-1;Curated selection and evidence submission;Retrieval;Return ingestion jobs associated with UC-1 during Curated selection and evidence submission filtered by method.
CQ00200;UC-1;Curated selection and evidence submission;Quantification;How many ingestion jobs are available for UC-1 during Curated selection and evidence submission filtered by status code.
CQ00201;UC-1;;Inspection;For a selected HTTP request in UC-1, which details can be inspected: method, scheme, authority, path, headers, cookies, parameters, payload body, timestamp?
CQ00202;UC-1;;Inspection;For a selected HTTP response in UC-1, which details can be inspected: status code, headers, payload body, timestamp, size, encoding, base64 representation?
CQ00203;UC-1;;Inspection;For a selected request–response exchange in UC-1, which details can be inspected: request details, response details, linking consistency, payload representations?
CQ00204;UC-1;Live navigation and HTTP interception;Traceability;Navigate a finding to its related HTML artifacts used as anchors in UC-1 during Live navigation and HTTP interception without relying on manual string parsing.
CQ00205;UC-1;Live navigation and HTTP interception;Traceability;Navigate a URI target to its related all associated exchanges in UC-1 during Live navigation and HTTP interception without relying on manual string parsing.
CQ00206;UC-1;Live navigation and HTTP interception;Traceability;Link a finding to its related supporting headers, cookies, and parameters in UC-1 during Live navigation and HTTP interception without relying on manual string parsing.
CQ00207;UC-1;Live navigation and HTTP interception;Traceability;Drill down from a offline reconstruction to its related persisted exchanges in UC-1 during Live navigation and HTTP interception without relying on manual string parsing.
