cq_id;use_case;scenario_step;dimension;question
CQ00162;UC-1;Curated selection and evidence submission;Retrieval;Enumerate request–response exchanges associated with UC-1 during Curated selection and evidence submission filtered by presence of headers.
CQ00163;UC-1;Curated selection and evidence submission;Retrieval;List request–response exchanges associated with UC-1 during Curated selection and evidence submission filtered by timestamp window.
CQ00164;UC-1;Curated selection and evidence submission;Retrieval;Enumerate request–response exchanges associated with UC-1 during Curated selection and evidence submission filtered by presence of a payload body.
CQ00165;UC-1;Curated selection and evidence submission;Quantification;Count request–response exchanges for UC-1 during Curated selection and evidence submission filtered by presence of a payload body.
CQ00166;UC-1;Curated selection and evidence submission;Retrieval;Enumerate URI targets associated with UC-1 during Curated selection and evidence submission filtered by method.
CQ00167;UC-1;Curated selection and evidence submission;Retrieval;Retrieve URI targets associated with UC-1 during Curated selection and evidence submission filtered by presence of a payload body.
CQ00168;UC-1;Curated selection and evidence submission;Retrieval;Show URI targets associated with UC-1 during Curated selection and evidence submission filtered by path.
CQ00169;UC-1;Curated selection and evidence submission;Retrieval;Show URI targets associated with UC-1 during Curated selection and evidence submission filtered by timestamp window.
CQ00171;UC-1;Curated selection and evidence submission;Retrieval;Show headers associated with UC-1 during Curated selection and evidence submission filtered by presence of cookies.
CQ00172;UC-1;Curated selection and evidence submission;Retrieval;List headers associated with UC-1 during Curated selection and evidence submission filtered by status code.
CQ00173;UC-1;Curated selection and evidence submission;Retrieval;List headers associated with UC-1 during Curated selection and evidence submission filtered by presence of a payload body.
CQ00174;UC-1;Curated selection and evidence submission;Retrieval;Return headers associated with UC-1 during Curated selection and evidence submission filtered by presence of headers.
CQ00175;UC-1;Curated selection and evidence submission;Quantification;Count headers for UC-1 during Curated selection and evidence submission filtered by presence of a payload body.
CQ00176;UC-1;Curated selection and evidence submission;Retrieval;Retrieve cookies associated with UC-1 during Curated selection and evidence submission filtered by scheme and authority.
CQ00177;UC-1;Curated selection and evidence submission;Retrieval;Return cookies associated with UC-1 during Curated selection and evidence submission filtered by presence of cookies.
CQ00178;UC-1;Curated selection and evidence submission;Retrieval;Enumerate cookies associated with UC-1 during Curated selection and evidence submission filtered by method.
CQ00179;UC-1;Curated selection and evidence submission;Retrieval;Return cookies associated with UC-1 during Curated selection and evidence submission filtered by presence of a payload body.
CQ00180;UC-1;Curated selection and evidence submission;Quantification;Count cookies for UC-1 during Curated selection and evidence submission filtered by timestamp window.
CQ00181;UC-1;Curated selection and evidence submission;Retrieval;Show parameters associated with UC-1 during Curated selection and evidence submission filtered by path.
CQ00182;UC-1;Curated selection and evidence submission;Retrieval;Enumerate parameters associated with UC-1 during Curated selection and evidence submission filtered by dataset.
CQ00183;UC-1;Curated selection and evidence submission;Retrieval;Enumerate parameters associated with UC-1 during Curated selection and evidence submission filtered by method.
CQ00184;UC-1;Curated selection and evidence submission;Retrieval;Retrieve parameters associated with UC-1 during Curated selection and evidence submission filtered by scheme and authority.
CQ00185;UC-1;Curated selection and evidence submission;Quantification;How many parameters are available for UC-1 during Curated selection and evidence submission filtered by presence of parameters.
CQ00192;UC-1;Curated selection and evidence submission;Retrieval;Return findings associated with UC-1 during Curated selection and evidence submission filtered by method.
CQ00193;UC-1;Curated selection and evidence submission;Retrieval;List findings associated with UC-1 during Curated selection and evidence submission filtered by status code.
CQ00194;UC-1;Curated selection and evidence submission;Retrieval;Retrieve findings associated with UC-1 during Curated selection and evidence submission filtered by dataset.
CQ00195;UC-1;Curated selection and evidence submission;Quantification;Summarize the count of findings for UC-1 during Curated selection and evidence submission filtered by presence of cookies.
CQ00196;UC-1;Curated selection and evidence submission;Retrieval;List ingestion jobs associated with UC-1 during Curated selection and evidence submission filtered by dataset.
CQ00197;UC-1;Curated selection and evidence submission;Retrieval;Return ingestion jobs associated with UC-1 during Curated selection and evidence submission filtered by status code.
CQ00198;UC-1;Curated selection and evidence submission;Retrieval;List ingestion jobs associated with UC-1 during Curated selection and evidence submission filtered by presence of a payload body.
CQ00199;UC-1;Curated selection and evidence submission;Retrieval;Return ingestion jobs associated with UC-1 during Curated selection and evidence submission filtered by method.
CQ00200;UC-1;Curated selection and evidence submission;Quantification;How many ingestion jobs are available for UC-1 during Curated selection and evidence submission filtered by status code.
CQ00201;UC-1;;Inspection;For a selected HTTP request in UC-1, which details can be inspected: method, scheme, authority, path, headers, cookies, parameters, payload body, timestamp?
CQ00202;UC-1;;Inspection;For a selected HTTP response in UC-1, which details can be inspected: status code, headers, payload body, timestamp, size, encoding, base64 representation?
CQ00203;UC-1;;Inspection;For a selected request–response exchange in UC-1, which details can be inspected: request details, response details, linking consistency, payload representations?
CQ00205;UC-1;Live navigation and HTTP interception;Traceability;Navigate a URI target to its related all associated exchanges in UC-1 during Live navigation and HTTP interception without relying on manual string parsing.
CQ00206;UC-1;Live navigation and HTTP interception;Traceability;Link a finding to its related supporting headers, cookies, and parameters in UC-1 during Live navigation and HTTP interception without relying on manual string parsing.
CQ00207;UC-1;Live navigation and HTTP interception;Traceability;Drill down from a offline reconstruction to its related persisted exchanges in UC-1 during Live navigation and HTTP interception without relying on manual string parsing.
CQ00208;UC-1;Live navigation and HTTP interception;Traceability;Link a finding to its related supporting HTTP request in UC-1 during Live navigation and HTTP interception without relying on manual string parsing.
CQ00210;UC-1;;Traceability;Navigate a finding to its related supporting HTTP request in UC-1 without relying on manual string parsing.
CQ00212;UC-1;;Traceability;Trace a finding to its related supporting headers, cookies, and parameters in UC-1 without relying on manual string parsing.
CQ00213;UC-1;;Traceability;Link a finding to its related supporting HTTP response in UC-1 without relying on manual string parsing.
CQ00214;UC-1;Session preparation and connectivity validation;Traceability;Link a URI target to its related all associated exchanges in UC-1 during Session preparation and connectivity validation without relying on manual string parsing.
CQ00217;UC-1;Session preparation and connectivity validation;Traceability;Drill down from a finding to its related supporting headers, cookies, and parameters in UC-1 during Session preparation and connectivity validation without relying on manual string parsing.
CQ00219;UC-1;Live navigation and HTTP interception;Validation;What checks can validate that pagination remains deterministic for large listings for UC-1 during Live navigation and HTTP interception?
CQ00220;UC-1;Live navigation and HTTP interception;Validation;What checks can validate that every persisted request is linked to its URI target for UC-1 during Live navigation and HTTP interception?
CQ00221;UC-1;Live navigation and HTTP interception;Validation;What checks can validate that binary payloads remain accessible through a base64-compatible representation for UC-1 during Live navigation and HTTP interception?
CQ00222;UC-1;Live navigation and HTTP interception;Validation;What checks can validate that headers are represented as queryable resources rather than raw text blobs for UC-1 during Live navigation and HTTP interception?
CQ00223;UC-1;Live navigation and HTTP interception;Validation;What checks can validate that job monitoring states are consistent with stored outputs for UC-1 during Live navigation and HTTP interception?
CQ00224;UC-1;Live navigation and HTTP interception;Validation;What checks can validate that offline import produces comparable access paths to live browsing ingestion for UC-1 during Live navigation and HTTP interception?
CQ00225;UC-1;Curated selection and evidence submission;Validation;What checks can validate that drill-down paths remain deterministic and stable across runs for UC-1 during Curated selection and evidence submission?
CQ00226;UC-1;Curated selection and evidence submission;Validation;What checks can validate that resolver outputs preserve evidence anchoring and provenance links for UC-1 during Curated selection and evidence submission?
CQ00227;UC-1;Curated selection and evidence submission;Validation;What checks can validate that request–response pairing is preserved when available for UC-1 during Curated selection and evidence submission?
CQ00228;UC-1;Curated selection and evidence submission;Validation;What checks can validate that offline import produces comparable access paths to live browsing ingestion for UC-1 during Curated selection and evidence submission?
CQ00229;UC-1;Curated selection and evidence submission;Validation;What checks can validate that headers are represented as queryable resources rather than raw text blobs for UC-1 during Curated selection and evidence submission?
CQ00230;UC-1;Curated selection and evidence submission;Validation;What checks can validate that named graph separation keeps evidence distinct from findings for UC-1 during Curated selection and evidence submission?
CQ00231;UC-1;Session preparation and connectivity validation;Validation;What checks can validate that named graph separation keeps evidence distinct from findings for UC-1 during Session preparation and connectivity validation?
CQ00237;UC-2;;Retrieval;Return HTTP requests associated with UC-2 filtered by dataset.
CQ00238;UC-2;;Retrieval;Enumerate HTTP requests associated with UC-2 filtered by presence of parameters.
CQ00239;UC-2;;Retrieval;List HTTP requests associated with UC-2 filtered by method.
CQ00240;UC-2;;Retrieval;Show HTTP requests associated with UC-2 filtered by presence of a payload body.
CQ00241;UC-2;;Quantification;How many HTTP requests are available for UC-2 filtered by presence of a payload body.
CQ00242;UC-2;;Retrieval;Return HTTP responses associated with UC-2 filtered by presence of parameters.
CQ00243;UC-2;;Retrieval;Return HTTP responses associated with UC-2 filtered by job identifier.
CQ00244;UC-2;;Retrieval;Retrieve HTTP responses associated with UC-2 filtered by presence of cookies.
CQ00245;UC-2;;Retrieval;Enumerate HTTP responses associated with UC-2 filtered by presence of headers.
CQ00246;UC-2;;Quantification;How many HTTP responses are available for UC-2 filtered by presence of headers.
CQ00247;UC-2;;Retrieval;List request–response exchanges associated with UC-2 filtered by dataset.
CQ00248;UC-2;;Retrieval;Retrieve request–response exchanges associated with UC-2 filtered by path.
CQ00249;UC-2;;Retrieval;Show request–response exchanges associated with UC-2 filtered by presence of a payload body.
CQ00250;UC-2;;Retrieval;Retrieve request–response exchanges associated with UC-2 filtered by presence of cookies.
CQ00251;UC-2;;Quantification;How many request–response exchanges are available for UC-2 filtered by status code.
CQ00252;UC-2;;Retrieval;Enumerate URI targets associated with UC-2 filtered by scheme and authority.
CQ00253;UC-2;;Retrieval;List URI targets associated with UC-2 filtered by dataset.
CQ00254;UC-2;;Retrieval;Return URI targets associated with UC-2 filtered by status code.
CQ00255;UC-2;;Retrieval;Return URI targets associated with UC-2 filtered by presence of headers.
CQ00256;UC-2;;Quantification;How many URI targets are available for UC-2 filtered by dataset.
CQ00260;UC-2;;Retrieval;Return headers associated with UC-2 filtered by status code.
CQ00261;UC-2;;Quantification;How many headers are available for UC-2 filtered by status code.
CQ00265;UC-2;;Retrieval;Return cookies associated with UC-2 filtered by status code.
CQ00277;UC-2;;Retrieval;Retrieve findings associated with UC-2 filtered by presence of a payload body.
CQ00278;UC-2;;Retrieval;Retrieve findings associated with UC-2 filtered by presence of cookies.
CQ00280;UC-2;;Retrieval;Return findings associated with UC-2 filtered by path.
CQ00281;UC-2;;Quantification;How many findings are available for UC-2 filtered by method.
CQ00286;UC-2;;Quantification;Summarize the count of ingestion jobs for UC-2 filtered by status code.
CQ00287;UC-2;Upload of capture artifacts through the Dashboard;Retrieval;Return HTTP requests associated with UC-2 during Upload of capture artifacts through the Dashboard filtered by presence of parameters.
CQ00288;UC-2;Upload of capture artifacts through the Dashboard;Retrieval;List HTTP requests associated with UC-2 during Upload of capture artifacts through the Dashboard filtered by job identifier.
CQ00289;UC-2;Upload of capture artifacts through the Dashboard;Retrieval;Show HTTP requests associated with UC-2 during Upload of capture artifacts through the Dashboard filtered by scheme and authority.
CQ00290;UC-2;Upload of capture artifacts through the Dashboard;Retrieval;Show HTTP requests associated with UC-2 during Upload of capture artifacts through the Dashboard filtered by dataset.
CQ00291;UC-2;Upload of capture artifacts through the Dashboard;Quantification;Summarize the count of HTTP requests for UC-2 during Upload of capture artifacts through the Dashboard filtered by presence of parameters.
CQ00292;UC-2;Upload of capture artifacts through the Dashboard;Retrieval;Retrieve HTTP responses associated with UC-2 during Upload of capture artifacts through the Dashboard filtered by timestamp window.
CQ00293;UC-2;Upload of capture artifacts through the Dashboard;Retrieval;Show HTTP responses associated with UC-2 during Upload of capture artifacts through the Dashboard filtered by dataset.
CQ00294;UC-2;Upload of capture artifacts through the Dashboard;Retrieval;Return HTTP responses associated with UC-2 during Upload of capture artifacts through the Dashboard filtered by status code.
CQ00295;UC-2;Upload of capture artifacts through the Dashboard;Retrieval;Return HTTP responses associated with UC-2 during Upload of capture artifacts through the Dashboard filtered by presence of headers.
CQ00296;UC-2;Upload of capture artifacts through the Dashboard;Quantification;Summarize the count of HTTP responses for UC-2 during Upload of capture artifacts through the Dashboard filtered by scheme and authority.
CQ00297;UC-2;Upload of capture artifacts through the Dashboard;Retrieval;Retrieve request–response exchanges associated with UC-2 during Upload of capture artifacts through the Dashboard filtered by presence of cookies.
CQ00298;UC-2;Upload of capture artifacts through the Dashboard;Retrieval;Enumerate request–response exchanges associated with UC-2 during Upload of capture artifacts through the Dashboard filtered by presence of parameters.
CQ00299;UC-2;Upload of capture artifacts through the Dashboard;Retrieval;Enumerate request–response exchanges associated with UC-2 during Upload of capture artifacts through the Dashboard filtered by method.
CQ00300;UC-2;Upload of capture artifacts through the Dashboard;Retrieval;List request–response exchanges associated with UC-2 during Upload of capture artifacts through the Dashboard filtered by presence of headers.
CQ00301;UC-2;Upload of capture artifacts through the Dashboard;Quantification;Count request–response exchanges for UC-2 during Upload of capture artifacts through the Dashboard filtered by presence of parameters.
CQ00337;UC-2;PCAP capture workflow and artifact preparation;Retrieval;Retrieve HTTP requests associated with UC-2 during PCAP capture workflow and artifact preparation filtered by path.
CQ00338;UC-2;PCAP capture workflow and artifact preparation;Retrieval;Return HTTP requests associated with UC-2 during PCAP capture workflow and artifact preparation filtered by presence of parameters.
CQ00339;UC-2;PCAP capture workflow and artifact preparation;Retrieval;Retrieve HTTP requests associated with UC-2 during PCAP capture workflow and artifact preparation filtered by presence of cookies.
CQ00340;UC-2;PCAP capture workflow and artifact preparation;Retrieval;Enumerate HTTP requests associated with UC-2 during PCAP capture workflow and artifact preparation filtered by presence of headers.
CQ00341;UC-2;PCAP capture workflow and artifact preparation;Quantification;Compute the number of HTTP requests for UC-2 during PCAP capture workflow and artifact preparation filtered by dataset.
CQ00342;UC-2;PCAP capture workflow and artifact preparation;Retrieval;Return HTTP responses associated with UC-2 during PCAP capture workflow and artifact preparation filtered by job identifier.
CQ00343;UC-2;PCAP capture workflow and artifact preparation;Retrieval;Enumerate HTTP responses associated with UC-2 during PCAP capture workflow and artifact preparation filtered by timestamp window.
CQ00344;UC-2;PCAP capture workflow and artifact preparation;Retrieval;Show HTTP responses associated with UC-2 during PCAP capture workflow and artifact preparation filtered by presence of headers.
CQ00345;UC-2;PCAP capture workflow and artifact preparation;Retrieval;Show HTTP responses associated with UC-2 during PCAP capture workflow and artifact preparation filtered by dataset.
CQ00346;UC-2;PCAP capture workflow and artifact preparation;Quantification;Count HTTP responses for UC-2 during PCAP capture workflow and artifact preparation filtered by status code.
CQ00347;UC-2;PCAP capture workflow and artifact preparation;Retrieval;Enumerate request–response exchanges associated with UC-2 during PCAP capture workflow and artifact preparation filtered by presence of a payload body.
CQ00348;UC-2;PCAP capture workflow and artifact preparation;Retrieval;Enumerate request–response exchanges associated with UC-2 during PCAP capture workflow and artifact preparation filtered by presence of headers.
CQ00349;UC-2;PCAP capture workflow and artifact preparation;Retrieval;Return request–response exchanges associated with UC-2 during PCAP capture workflow and artifact preparation filtered by status code.
CQ00350;UC-2;PCAP capture workflow and artifact preparation;Retrieval;Show request–response exchanges associated with UC-2 during PCAP capture workflow and artifact preparation filtered by job identifier.
CQ00351;UC-2;PCAP capture workflow and artifact preparation;Quantification;Summarize the count of request–response exchanges for UC-2 during PCAP capture workflow and artifact preparation filtered by scheme and authority.
CQ00352;UC-2;PCAP capture workflow and artifact preparation;Retrieval;Show URI targets associated with UC-2 during PCAP capture workflow and artifact preparation filtered by presence of cookies.
CQ00353;UC-2;PCAP capture workflow and artifact preparation;Retrieval;Show URI targets associated with UC-2 during PCAP capture workflow and artifact preparation filtered by method.
CQ00354;UC-2;PCAP capture workflow and artifact preparation;Retrieval;Show URI targets associated with UC-2 during PCAP capture workflow and artifact preparation filtered by presence of headers.
CQ00355;UC-2;PCAP capture workflow and artifact preparation;Retrieval;Show URI targets associated with UC-2 during PCAP capture workflow and artifact preparation filtered by status code.
CQ00360;UC-2;PCAP capture workflow and artifact preparation;Retrieval;Return headers associated with UC-2 during PCAP capture workflow and artifact preparation filtered by status code.
CQ00366;UC-2;PCAP capture workflow and artifact preparation;Quantification;Compute the number of cookies for UC-2 during PCAP capture workflow and artifact preparation filtered by status code.
CQ00377;UC-2;PCAP capture workflow and artifact preparation;Retrieval;Return findings associated with UC-2 during PCAP capture workflow and artifact preparation filtered by timestamp window.
CQ00378;UC-2;PCAP capture workflow and artifact preparation;Retrieval;Show findings associated with UC-2 during PCAP capture workflow and artifact preparation filtered by method.
CQ00379;UC-2;PCAP capture workflow and artifact preparation;Retrieval;Enumerate findings associated with UC-2 during PCAP capture workflow and artifact preparation filtered by status code.
CQ00380;UC-2;PCAP capture workflow and artifact preparation;Retrieval;Enumerate findings associated with UC-2 during PCAP capture workflow and artifact preparation filtered by dataset.
CQ00383;UC-2;PCAP capture workflow and artifact preparation;Retrieval;Retrieve ingestion jobs associated with UC-2 during PCAP capture workflow and artifact preparation filtered by status code.
CQ00384;UC-2;PCAP capture workflow and artifact preparation;Retrieval;Show ingestion jobs associated with UC-2 during PCAP capture workflow and artifact preparation filtered by presence of a payload body.
CQ00387;UC-2;Persistence execution and convergence validation;Retrieval;Retrieve HTTP requests associated with UC-2 during Persistence execution and convergence validation filtered by presence of a payload body.
CQ00388;UC-2;Persistence execution and convergence validation;Retrieval;Return HTTP requests associated with UC-2 during Persistence execution and convergence validation filtered by scheme and authority.
CQ00389;UC-2;Persistence execution and convergence validation;Retrieval;List HTTP requests associated with UC-2 during Persistence execution and convergence validation filtered by job identifier.
